Library,url,postcode
Tonbridge North Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=97&uprn=200000961894,ME14 1LQ
Torridon Road Library,https://www.lewisham.gov.uk/contact-us/Pages/contact.aspx?directoryid=93&source=%2fmyservices%2flibraries%2fbranches%2fPages%2fmanor-house-library.aspx,SE13 5SY
Tunbridge Wells Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=99&uprn=100062541606,ME14 1LQ
Uckfield,http://www.eastsussex.gov.uk/libraries/find/uckfield/default.htm,TN22 1AR
Vigo Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=50&uprn=100062313206,ME14 1LQ
Virginia Water,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/virginia-water-community-library/virginia-water-community-library-location-and-access,KT1 2DN
Wallingford,http://www.oxfordshire.gov.uk/cms/content/wallingford-library,OX1 1ND
Walton,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/walton-library,KT1 2DN
Wantage,http://www.oxfordshire.gov.uk/cms/content/wantage-library,OX1 1ND
Warlingham,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/warlingham-community-library,KT1 2DN
Watlington,http://www.oxfordshire.gov.uk/cms/content/watlington-library,OX1 1ND
West Byfleet,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/west-byfleet-library,KT1 2DN
West Kingsdown Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=72&uprn=100062550164,ME14 1LQ
West Malling Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=98&uprn=200000959831,ME14 1LQ
Westerham Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=73&uprn=100062551577,ME14 1LQ
Westgate Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=88&uprn=100062304862,ME14 1LQ
Weybridge,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/weybridge-library,KT1 2DN
Wheatley,http://www.oxfordshire.gov.uk/cms/content/wheatley-library,OX1 1ND
Whitstable Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=13&uprn=100062300410,ME14 1LQ
Windsor,http://www.rbwm.gov.uk/web/libraries_windsor.htm,SL6 1RF
Witney,http://www.oxfordshire.gov.uk/cms/content/witney-library,OX1 1ND
Woking,http://www.surreycc.gov.uk/people-and-community/libraries/libraries-in-surrey/libraries-and-opening-times/woking-library,KT1 2DN
Wood Avenue Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=40&uprn=000050043728,ME14 1LQ
Woodcote,http://www.oxfordshire.gov.uk/cms/content/woodcote-library,OX1 1ND
Woodstock,http://www.oxfordshire.gov.uk/cms/content/woodstock-library,OX1 1ND
Worthing,http://www.westsussex.gov.uk/leisure/libraries/find_a_library/worthing_library.aspx,BN11 1HD
Wychwood,http://www.oxfordshire.gov.uk/cms/content/wychwood-library,OX1 1ND
Wye Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=7&uprn=100062562051,ME14 1LQ
Yalding Library,http://webapps.kent.gov.uk/KCC.Libraries.Web.Sites.Public/LibraryDetails.aspx?aid=0&lid=61&uprn=200003660808,ME14 1LQ
